horario,canción,artista,duración,categoría,popularidad,energía,baile,positividad
Noche,No Es Justo,J Balvin;Zion & Lennox,251266,latino,3,0.812,0.811,0.689
Mañana,El Dia Que Me Acaricies Lloraré,Nelson Ned,231093,rock,32,0.338,0.308,0.336
Mañana,Ocean (feat. Khalid),Martin Garrix;Khalid,216419,electronica,69,0.693,0.506,0.221
Mañana,Heartland,Lihua Zhao,208500,tranquila,52,0.0762,0.325,0.141
Mañana,Cambios,Harry Nach;Poison Kid,227200,latino,40,0.59,0.728,0.374
Mañana,Harnen,Little Symphony,120000,tranquila,28,0.0109,0.14,0.0721
Noche,If Money Talks,Jason & The Scorchers,155093,pop_comercial,21,0.985,0.299,0.349
Noche,Attention,Omah Lay;Justin Bieber,180563,urbana,2,0.72,0.817,0.384
Tarde,Chuzhi Pottu Revival,Sirkazhi Govindarajan,205689,tranquila,29,0.574,0.376,0.912
Noche,No Fun,Armin van Buuren;The Stickmen Project,130412,electronica,1,0.904,0.731,0.328
Noche,Tightrope of Love,Chatham County Line,180586,rock,20,0.81,0.534,0.846
Noche,Un Año,Sebastian Yatra;Reik,164440,latino,3,0.381,0.771,0.534
Noche,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - DJ LBR Remix",David Guetta;DJ LBR,203618,electronica,57,0.774,0.425,0.209
Noche,Filament - LIVE,Official HIGE DANdism,243320,rock,22,0.894,0.516,0.299
Mañana,Garúa,Aníbal Troilo;Roberto Goyeneche,212933,latino,18,0.376,0.502,0.353
Mañana,Casual,Johnny Stimson;Jeff Bernat;Jesse Barrera,200037,tranquila,60,0.45,0.53,0.412
Tarde,High (& Dua Lipa),Whethan;Dua Lipa,196706,electronica,67,0.552,0.708,0.686
Tarde,Matrix,Xamã;Bagua Records;Rio Santana,185739,latino,44,0.568,0.827,0.588
Tarde,Saudade (When We Are Born),Ólafur Arnalds,150000,tranquila,60,0.0253,0.289,0.138
Noche,Numb,Marshmello;Khalid,155588,electronica,87,0.774,0.912,0.632
Noche,Muñeca brava,Alberto Castillo,175386,latino,28,0.285,0.645,0.727
Noche,Esta Soy Yo,Francisca Valenzuela,198200,electronica,35,0.893,0.768,0.79
Noche,アフターダーク,ASIAN KUNG-FU GENERATION,192026,rock,57,0.95,0.387,0.541
Tarde,Señorita,Shawn Mendes;Camila Cabello,190960,pop_comercial,2,0.54,0.759,0.75
Tarde,Imagination,Shiloh Dynasty;Timmies,142107,tranquila,57,0.171,0.615,0.242
Noche,Te Pue' Cuidar,Brray;Rauw Alejandro,232013,latino,1,0.785,0.602,0.582
Noche,Another Love - Piano Version,Philip,194318,tranquila,42,0.156,0.322,0.102
Noche,One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,214846,pop_comercial,89,0.862,0.791,0.592
Noche,poof,Rei Harakami,230840,electronica,15,0.219,0.669,0.11
Noche,MONSTER,Reol,201933,rock,55,0.968,0.488,0.359
Noche,Glory Days (Glee Cast Version),Glee Cast,212133,electronica,19,0.844,0.622,0.885
Noche,Goiaba,Oaty.,139805,tranquila,57,0.679,0.757,0.374
Noche,Malaria,Ondatrópica,220280,electronica,21,0.798,0.647,0.906
Noche,Hasi - Male Version,Ami Mishra,272668,pop_comercial,70,0.581,0.296,0.231
Noche,Sex Compliment,Kalado,196037,urbana,26,0.702,0.567,0.547
Noche,This Song's For You,El Michels Affair,165040,electronica,22,0.517,0.542,0.326
Noche,Indeciso,Reik;J Balvin;Lalo Ebratt,217253,latino,1,0.748,0.738,0.896
Noche,Plastic Smile,Chronic Law,152200,urbana,37,0.483,0.802,0.364
Noche,Thank You Friends,Big Star,186293,pop_comercial,22,0.962,0.389,0.558
Noche,The Troublemakerz,Boris Brejcha,458880,electronica,45,0.612,0.799,0.266
Mañana,Angst vor der Stille,Herr D.K.;Resi Reiner,162039,rock,37,0.296,0.479,0.368
Mañana,Casa de Bênção,Eyshila,358051,latino,47,0.444,0.485,0.267
Noche,Cyberpunk,Max Brhon,215079,electronica,59,0.979,0.529,0.088
Noche,Como És Lindo - Ao Vivo,Vida Reluz,238760,latino,52,0.232,0.267,0.103
Noche,Moments of Wonder,Pulse Mandala;Suseti,297000,tranquila,27,0.221,0.169,0.061
Noche,If You'd Only Believe,Randy Crawford,318000,rock,31,0.514,0.441,0.461
Noche,AEIOU,Justin Quiles;Robin Schulz,161880,latino,3,0.856,0.689,0.706
Noche,London Is Lonely,Holly Humberstone,234760,pop_comercial,1,0.43,0.482,0.113
Noche,"Sonata for violin and piano, L. 140: III. Finale. Très animé",Claude Debussy;Andrzej Cieplinski;Tymoteusz Bies,311400,tranquila,2,0.111,0.348,0.0985
Noche,一輩子的錯,Andy Lau,300000,rock,22,0.758,0.499,0.612
Noche,Teenager,Jeff Rosenstock,155028,pop_comercial,28,0.866,0.354,0.496
Mañana,Érase Una Vez,Teide,171395,tranquila,50,0.0762,0.198,0.333
Mañana,三人遊,Khalil Fong,237426,pop_comercial,25,0.389,0.478,0.446
Noche,Horsepower - F.O.O.L & TOKYO ROSE Remix,MUZZ;F.O.O.L;TOKYO ROSE,200920,tranquila,43,0.765,0.598,0.0395
Mañana,Lo Legal (Version Mariachi),El Bebeto,200866,rock,41,0.378,0.329,0.4
Noche,Shaky Shaky - Remix,Daddy Yankee;Nicky Jam;Plan B;Rome & Urba,234560,latino,4,0.786,0.813,0.828
Noche,Kwiz,KiLLATK,318439,electronica,24,0.839,0.758,0.167
Tarde,Entre Familia,Viti Ruiz,360280,latino,30,0.688,0.538,0.893
Noche,Ganapathiye Varuvaai Revival,Sirkazhi Govindarajan,202529,rock,38,0.71,0.465,0.749
Tarde,Be Okay (with HRVY),R3HAB;HRVY,141600,urbana,51,0.558,0.73,0.618
Tarde,Never,Orbital,283866,electronica,20,0.434,0.64,0.766
Noche,Snälla pappa,Mörbyligan,146173,rock,43,0.795,0.425,0.963
Noche,Oxygen Levels Low,Colyn,446280,electronica,46,0.811,0.803,0.156
Noche,La Última Copa,Julio Sosa,154044,latino,20,0.246,0.551,0.827
Mañana,Cabelo Bagunçado,Agnes Nunes;Neo Beats,231000,urbana,49,0.442,0.494,0.4
Noche,Adeus,Pep Starling,135201,tranquila,47,0.824,0.756,0.581
Noche,Common Person,Burna Boy,210346,urbana,60,0.674,0.703,0.592
Noche,New Star,Watchhouse,185728,pop_comercial,56,0.488,0.683,0.424
Noche,Problemón,Alvaro Diaz;Rauw Alejandro,193013,latino,71,0.737,0.729,0.369
Noche,Floating G,Susumu Yokota,392419,electronica,11,0.735,0.582,0.654
Noche,Any,Mr.Children,306133,rock,43,0.643,0.631,0.502
Noche,Somberi,Mathan;Naven,236143,urbana,57,0.795,0.707,0.612
Noche,Afinar as Rezas,Dazaranha,250535,latino,43,0.796,0.632,0.577
Noche,Marketplace,Hugh Masekela,331040,electronica,18,0.249,0.696,0.558
Noche,Monsters (feat. Demi Lovato and blackbear),All Time Low;Demi Lovato;blackbear,174424,rock,66,0.787,0.51,0.793
Noche,Hair Dryer Sound 20 - Loopable With No Fade,Deep Sleep Hair Dryers;Hair Dryer Collection;Hair Dryer Sounds,84000,tranquila,37,3.05e-05,0.0,0.0
Tarde,Além do Que Se Vê,Los Hermanos,230746,urbana,46,0.498,0.718,0.767
Tarde,Oh Oh - The First Love of Tamizh,Anirudh Ravichander;Dhanush;Nikhita Gandhi,276705,pop_comercial,60,0.587,0.594,0.448
Noche,Banji,Sharaya J,155110,electronica,34,0.784,0.828,0.391
Tarde,Rockin' Robin,Bobby Day,156293,rock,47,0.686,0.549,0.926
Tarde,trust (feat. RINI),thuy;RINI,197557,tranquila,59,0.556,0.762,0.649
Noche,ダンサーインザルーム,ZOOKARADERU,200800,rock,33,0.969,0.663,0.735
Noche,到此為止,Shiga Lin,261571,tranquila,54,0.292,0.566,0.396
Noche,Sex,Cheat Codes;Kris Kross Amsterdam,228360,electronica,61,0.691,0.604,0.186
Noche,3 Días,Germanini;Sergio Acosta;Dj Zetian,218880,latino,43,0.731,0.715,0.59
Noche,Pumped Up Kicks,Madism;MKJ;Felix Samuel,145161,electronica,74,0.687,0.669,0.386
Noche,Amuk Redam,Pee Wee Gaskins,218021,rock,37,0.975,0.401,0.449
Noche,Lose A Friend,Beowülf;INTRN,202605,tranquila,48,0.392,0.756,0.0658
Noche,Grande é o Senhor - Acústico Ao Vivo,Adhemar De Campos;Nívea Soares,280880,latino,48,0.339,0.262,0.151
Tarde,OOPS,King,163200,urbana,75,0.673,0.918,0.828
Noche,Como puedes vivir contigo mismo,Alex Anwandter,261066,electronica,42,0.812,0.714,0.873
Noche,Sou Eu,Fabiana Anastácio,290266,latino,44,0.78,0.738,0.901
Noche,earned,Organ Tapes,123314,electronica,16,0.477,0.422,0.392
Noche,Imaginaste - Remix,Jhayco;Wisin & Yandel,246653,latino,3,0.71,0.855,0.591
Noche,I Want To Hold Your Hand,Glee Cast,188173,electronica,17,0.552,0.241,0.068
Noche,Harry Potter (The Ultimate Indian Theme),Mahesh Raghvan,154000,tranquila,36,0.775,0.403,0.207
Noche,十面埋伏,Eason Chan,232133,pop_comercial,46,0.465,0.542,0.428
Mañana,"12 Variations on ‘Je suis Lindor’ from ‘Le Barbier de Séville’ by A.L. Baudron in E, K.354: 7. Variation VI",Wolfgang Amadeus Mozart;Danielle Laval,61800,tranquila,15,0.199,0.519,0.581
Mañana,Don't Cry (Original),Guns N' Roses,283733,rock,78,0.59,0.456,0.243
Mañana,Si Te La Encuentras Por Ahí,Feid,191573,latino,82,0.576,0.743,0.455
Mañana,Popurrí Alvaro Carrillo,Jorge Muñiz;Marco Antonio Muñiz,333978,pop_comercial,33,0.363,0.698,0.541
Mañana,Black Lights on the M6,Blackhaine,145777,electronica,18,0.687,0.422,0.286
Noche,Selenium Forest,Plini,365641,tranquila,48,0.72,0.472,0.36
